asset_code,asset_name,asset_type,market,fund_company,risk_level,theme,is_off_platform_fund,is_excluded,exclusion_reason,official_source_count,fallback_aggregated,evidence_level,source_name,source_type,source_url,missing_nav_days,missing_holding_days,conflict_flag,as_of
008887,华夏国证半导体芯片ETF联接A,off_platform_fund,CN,华夏基金,R4/high,A股半导体芯片设备,true,false,,2,false,Strong,ChinaAMC official fund page + Eastmoney NAV/status,official,https://www.amcfortune.com/funds/public/008887/index.shtml,0,0,false,2026-06-12
011839,天弘中证人工智能A,off_platform_fund,CN,天弘基金,high,A股人工智能算力/光模块/芯片,true,false,,2,false,Strong,Tianhong/CNInfo product document + Eastmoney NAV/status,official,https://www.thfund.com.cn/fundinfo/011839,0,0,false,2026-06-12
110026,易方达创业板ETF联接A,off_platform_fund,CN,易方达基金,R4/high,A股创业板高成长,true,false,,2,false,Strong,E Fund official fund page + Eastmoney NAV/status,official,https://www.efunds.com.cn/Mobile/fund/110026.shtml,0,0,false,2026-06-12
007300,国联安中证半导体ETF联接A,off_platform_fund,CN,国联安基金,high,A股半导体设备/材料,true,false,,2,false,Strong,Fund status + public sales disclosure + semiconductor ETF proxy attempted in MooMoo,official,https://fundf10.eastmoney.com/jbgk_007300.html,0,0,false,2026-06-12
270042,广发纳指100ETF联接(QDII)人民币A,off_platform_fund,US,广发基金,medium-high/QDII,美股纳斯达克100/AI平台,true,false,,2,false,Strong,GF official page + MooMoo QQQ proxy + Eastmoney status,moomoo,data/moomoo/moomoo_collect_20260612T222828Z_deebca84/US_QQQ_K_DAY_2026-03-02_2026-06-12.csv,0,0,false,2026-06-12
018043,天弘纳斯达克100指数发起(QDII)A,off_platform_fund,US,天弘基金,high/QDII,美股纳斯达克100/AI平台,true,false,,2,false,Strong,Tianhong official page + MooMoo QQQ proxy + public status,moomoo,data/moomoo/moomoo_collect_20260612T222828Z_deebca84/US_QQQ_K_DAY_2026-03-02_2026-06-12.csv,0,0,false,2026-06-12
013171,华夏恒生互联网科技业ETF联接(QDII)A,off_platform_fund,HK,华夏基金,R4/high/QDII,港股互联网科技/AI应用,true,false,,2,false,Strong,ChinaAMC official page + MooMoo HK.03033 proxy + public fee/status,moomoo,data/moomoo/moomoo_collect_20260612T222828Z_deebca84/HK_03033_K_DAY_2026-03-02_2026-06-12.csv,0,0,false,2026-06-12
BOND001,保守债券占位-强制排除,bond_fund,CN,n/a,low,bond,true,true,conservative bond/money-like asset excluded by strategy,2,false,Strong,exclusion sentinel,official,https://example.com/excluded-bond-sentinel,0,0,false,2026-06-12
016667,景顺长城全球半导体芯片股票A(QDII-LOF)(美元现汇),off_platform_qdii_fund,CN/US,,high,半导体、芯片、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
016668,景顺长城全球半导体芯片股票C(QDII-LOF)(人民币),off_platform_qdii_fund,CN/US,,high,半导体、芯片、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
501225,景顺长城全球半导体芯片股票A(QDII-LOF)(人民币),off_platform_qdii_fund,CN/US,,high,半导体、芯片、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
000157,富国全球科技互联网股票(QDII)A(后端),off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
013172,华夏恒生互联网科技业ETF联接(QDII)C,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
017091,景顺长城纳斯达克科技ETF联接(QDII)A人民币,off_platform_qdii_fund,CN/US,,high,科技、纳斯达克、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
017092,景顺长城纳斯达克科技ETF联接(QDII)A美元现汇,off_platform_qdii_fund,CN/US,,high,科技、纳斯达克、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
017093,景顺长城纳斯达克科技ETF联接(QDII)C人民币,off_platform_qdii_fund,CN/US,,high,科技、纳斯达克、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
017894,汇添富纳斯达克生物科技ETF发起式联接(QDII)人民币A,off_platform_qdii_fund,CN/US,,high,科技、纳斯达克、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
017895,汇添富纳斯达克生物科技ETF发起式联接(QDII)人民币C,off_platform_qdii_fund,CN/US,,high,科技、纳斯达克、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
017951,汇添富纳斯达克生物科技ETF发起式联接(QDII)美元现汇,off_platform_qdii_fund,CN/US,,high,科技、纳斯达克、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
017952,汇添富纳斯达克生物科技ETF发起式联接(QDII)美元现钞,off_platform_qdii_fund,CN/US,,high,科技、纳斯达克、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
018475,万家恒生互联网科技业ETF发起式联接(QDII)A,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
018476,万家恒生互联网科技业ETF发起式联接(QDII)C,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
018523,华泰紫金恒生互联网科技业指数型发起基金(QDII)A,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
018524,华泰紫金恒生互联网科技业指数型发起基金(QDII)C,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
019118,景顺长城纳斯达克科技ETF联接(QDII)E人民币,off_platform_qdii_fund,CN/US,,high,科技、纳斯达克、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
019936,华安恒生互联网科技业ETF发起式联接(QDII)A,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
019937,华安恒生互联网科技业ETF发起式联接(QDII)C,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
022184,富国全球科技互联网股票(QDII)C,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
023764,华夏恒生互联网科技业ETF发起式联接(QDII)D,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
026228,富国全球科技互联网股票(QDII)D,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
100055,富国全球科技互联网股票(QDII)A,off_platform_qdii_fund,CN/US,,high,科技、互联网、QDII,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
012570,建信恒生科技指数发起(QDII)A,off_platform_qdii_fund,CN/US,,high,科技、QDII、恒生科技,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
012571,建信恒生科技指数发起(QDII)C,off_platform_qdii_fund,CN/US,,high,科技、QDII、恒生科技,true,false,,0,true,Medium,Eastmoney/Tiantian Fund all-market fund list,public_aggregation,https://fund.eastmoney.com/js/fundcode_search.js,0,0,false,2026-06-29
