task_id,evidence_gap,source_report,metadata_path,run,strategy_id,symbol,market,research_topic,signal_to_validate,sample_period,cost_assumption,benchmark,status,dedupe_key
reportGapTask_e075e54ff090b224301e,CrossSourceValidation,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/SampleBacktestReport_07062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/RunMetadata_07062026.json,RunMetadata_07062026,ma_crossover,AAPL,US,补齐报告证据：RunMetadata_07062026 / CrossSourceValidation,补跑多源交叉校验，比较至少两个可用真实数据源的关键价格。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,S&P 500,待验证,554bda3a926a58faf09410967981e4781752b8142848bbcdf2610930a6ae30dc
reportGapTask_4fd24767b189af18a488,ParameterStability,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/SampleBacktestReport_07062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/RunMetadata_07062026.json,RunMetadata_07062026,ma_crossover,AAPL,US,补齐报告证据：RunMetadata_07062026 / ParameterStability,补跑参数稳定性扫描，检查结论是否依赖单一参数。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,S&P 500,待验证,5f54e07c13f9778bdad13b5b787c759edd6ef384d8da15862cf70b4d0846a962
reportGapTask_0c691618d33ec8d0db0a,TrainTestValidation,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/SampleBacktestReport_07062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/RunMetadata_07062026.json,RunMetadata_07062026,ma_crossover,AAPL,US,补齐报告证据：RunMetadata_07062026 / TrainTestValidation,补跑样本内/样本外验证，确认训练和测试表现是否一致。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,S&P 500,待验证,5ca0308fe4f2c29cbee8266b802cdab95fbbf2c8c61bec9bc995eb4b8a5f07f6
reportGapTask_a5d66fdd1799fae49691,WalkForwardValidation,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/SampleBacktestReport_07062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/RunMetadata_07062026.json,RunMetadata_07062026,ma_crossover,AAPL,US,补齐报告证据：RunMetadata_07062026 / WalkForwardValidation,补跑 walk-forward 验证，检查规律是否跨时间窗口稳定。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,S&P 500,待验证,2abbae557856b9bd08161af406b961019a0e7eb25f4b9190d9c32145fc9865f5
reportGapTask_ea31ffc51bd85726422d,DecisionQuality,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/SampleBacktestReport_07062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-07/RunMetadata_07062026.json,RunMetadata_07062026,ma_crossover,AAPL,US,补齐报告证据：RunMetadata_07062026 / DecisionQuality,补齐 Decision Quality，包括 Thesis、证据、风险、反方观点和退出条件。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,S&P 500,待验证,02cf5877df01a10946d06f7979433e6576cf7285f1104e2adc411928fe67137e
reportGapTask_ecd9e79c97b8f0af187b,ReportEvidence,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata7_04062026.json,RunMetadata7_04062026,ma_crossover,,,补齐报告证据：RunMetadata7_04062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,60c3898ed49cac0e1fe85b90f9be3decf61eb99b197e86f5f267860e64de1230
reportGapTask_cfa345814e7f20c54a87,DataQuality,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata7_04062026.json,RunMetadata7_04062026,ma_crossover,,,补齐报告证据：RunMetadata7_04062026 / DataQuality,补跑并保存数据质量检查，确认数据源、时间区间、缺失值和异常值。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,0d3bcdabd4ecd5302772d53d0f957a35b93a150a6d08a81935a353fbc64d8912
reportGapTask_9fb1c75bf25656524cff,CrossSourceValidation,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata7_04062026.json,RunMetadata7_04062026,ma_crossover,,,补齐报告证据：RunMetadata7_04062026 / CrossSourceValidation,补跑多源交叉校验，比较至少两个可用真实数据源的关键价格。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,0d86d8504be88e64d754d75e212f8ec911148a33e971a222a95c3a5e5008e74e
reportGapTask_5a4a5486501da671d753,ParameterStability,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata7_04062026.json,RunMetadata7_04062026,ma_crossover,,,补齐报告证据：RunMetadata7_04062026 / ParameterStability,补跑参数稳定性扫描，检查结论是否依赖单一参数。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,1c4c14e6ecb88467d3d6657ff571b13792a02ca35bd8ca925ec141098de43b76
reportGapTask_6d6d9dcf06cd82c50742,TrainTestValidation,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata7_04062026.json,RunMetadata7_04062026,ma_crossover,,,补齐报告证据：RunMetadata7_04062026 / TrainTestValidation,补跑样本内/样本外验证，确认训练和测试表现是否一致。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,768020bb9f31c27019a2dfc3fe79ce4feeaf5bf089e5e760eda18c4ce578e27b
reportGapTask_b88f9b7659eaa0aabfc1,WalkForwardValidation,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata7_04062026.json,RunMetadata7_04062026,ma_crossover,,,补齐报告证据：RunMetadata7_04062026 / WalkForwardValidation,补跑 walk-forward 验证，检查规律是否跨时间窗口稳定。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,29cb06c0eb7644ca788dbb86698eb82f6cd5af4e6d82f3cb3882e76b4783f6ff
reportGapTask_d6c4141b3e233af09415,DecisionQuality,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata7_04062026.json,RunMetadata7_04062026,ma_crossover,,,补齐报告证据：RunMetadata7_04062026 / DecisionQuality,补齐 Decision Quality，包括 Thesis、证据、风险、反方观点和退出条件。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,fef3fca87bc477db65cb7cbf4d22d5255aeb5e497c0ab1fdcc279c28488e9175
reportGapTask_0fa3947a87fc5dd01b6e,ReportEvidence,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata6_04062026.json,RunMetadata6_04062026,alipay,,,补齐报告证据：RunMetadata6_04062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,564e7bab4a129dfc7473a97c6eb8c0fdfd91387ae6f4caceb39bb15df45c5e26
reportGapTask_466c0dc83f6bc9578725,DataQuality,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata6_04062026.json,RunMetadata6_04062026,alipay,,,补齐报告证据：RunMetadata6_04062026 / DataQuality,补跑并保存数据质量检查，确认数据源、时间区间、缺失值和异常值。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,394bb2b163fc875f150d33705df76e5fa9c425dee854043a3644ca4ffbce85f4
reportGapTask_64d067a9322c66ce6d10,CrossSourceValidation,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata6_04062026.json,RunMetadata6_04062026,alipay,,,补齐报告证据：RunMetadata6_04062026 / CrossSourceValidation,补跑多源交叉校验，比较至少两个可用真实数据源的关键价格。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,fe63df9ea1c6046220a8a2a1c278b8fb0a9c3629fa5d2e6d347d557ba73760fd
reportGapTask_fbe6e8a3418ff06c4d10,ParameterStability,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata6_04062026.json,RunMetadata6_04062026,alipay,,,补齐报告证据：RunMetadata6_04062026 / ParameterStability,补跑参数稳定性扫描，检查结论是否依赖单一参数。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,5817f136a912538c5dcc3f4eddc86fdf8c61dfc624aa7a90bd661607a7a7fd0d
reportGapTask_ae8182628ccd48833773,TrainTestValidation,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata6_04062026.json,RunMetadata6_04062026,alipay,,,补齐报告证据：RunMetadata6_04062026 / TrainTestValidation,补跑样本内/样本外验证，确认训练和测试表现是否一致。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,7ae8c76e90b5990d8c6be5c149f3dfbb4d1ab932419e0d2a797c247e4621d692
reportGapTask_6738e5606578cb22e668,WalkForwardValidation,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata6_04062026.json,RunMetadata6_04062026,alipay,,,补齐报告证据：RunMetadata6_04062026 / WalkForwardValidation,补跑 walk-forward 验证，检查规律是否跨时间窗口稳定。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,cbe50b3f376b9ea939c922cbdb6f28c8a2f618a8c5986ac5a56f91471175ac60
reportGapTask_ecc1b8725e4482cf017c,DecisionQuality,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata6_04062026.json,RunMetadata6_04062026,alipay,,,补齐报告证据：RunMetadata6_04062026 / DecisionQuality,补齐 Decision Quality，包括 Thesis、证据、风险、反方观点和退出条件。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,ab7a64c8f043ecc6ff15bf9cdb8afd620f8662fda7e59fe5727aca4dbdba90dd
reportGapTask_2dbfd5496aa0400a46b6,ReportEvidence,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata5_04062026.json,RunMetadata5_04062026,alipay,,,补齐报告证据：RunMetadata5_04062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,8d474b45889ff2ffc2c4462f6e9718518c76f19dff884fed02c6914b6572b9f2
reportGapTask_0784624a9a0a560936f8,DataQuality,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata5_04062026.json,RunMetadata5_04062026,alipay,,,补齐报告证据：RunMetadata5_04062026 / DataQuality,补跑并保存数据质量检查，确认数据源、时间区间、缺失值和异常值。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,689dd1cbc1ef91ec737159f8dc0f7749a23e5e92c08d279fb2fe1c0364cfa725
reportGapTask_e6f30ef0c7ccba0a8b67,CrossSourceValidation,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata5_04062026.json,RunMetadata5_04062026,alipay,,,补齐报告证据：RunMetadata5_04062026 / CrossSourceValidation,补跑多源交叉校验，比较至少两个可用真实数据源的关键价格。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,b560e25d095fadc2d34c8746e41982c72733980d78219c2de0c1c4655462589e
reportGapTask_bcb63f8ef2c6bc031f6b,ParameterStability,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata5_04062026.json,RunMetadata5_04062026,alipay,,,补齐报告证据：RunMetadata5_04062026 / ParameterStability,补跑参数稳定性扫描，检查结论是否依赖单一参数。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,13654b44883cca1908f1de3a5e32a228858cfcc8d364423b2798cf7948a821f0
reportGapTask_0efaaa2a78e87ffa29a7,TrainTestValidation,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata5_04062026.json,RunMetadata5_04062026,alipay,,,补齐报告证据：RunMetadata5_04062026 / TrainTestValidation,补跑样本内/样本外验证，确认训练和测试表现是否一致。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,e41a8a19f4eb09dbd522568113945080abf9ddcb23dad87dd9931245886a56df
reportGapTask_008f304d7676f8b3c5e6,WalkForwardValidation,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata5_04062026.json,RunMetadata5_04062026,alipay,,,补齐报告证据：RunMetadata5_04062026 / WalkForwardValidation,补跑 walk-forward 验证，检查规律是否跨时间窗口稳定。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,099be6c58326001ec4007e1d04739aeec85eca97367382e09ee8ba2b9e2fbba9
reportGapTask_2533bd3b6b367688ead0,DecisionQuality,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata5_04062026.json,RunMetadata5_04062026,alipay,,,补齐报告证据：RunMetadata5_04062026 / DecisionQuality,补齐 Decision Quality，包括 Thesis、证据、风险、反方观点和退出条件。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,5cf4d64be5a211c9578fd23c3ac3c6ff7bae5b38485aa28bc75f491a70de0fcf
reportGapTask_6027ca6d96941d644c12,ReportEvidence,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata4_04062026.json,RunMetadata4_04062026,ma_crossover,,,补齐报告证据：RunMetadata4_04062026 / ReportEvidence,重新导出包含 QuantLabReportEvidenceV1 的 Word 报告和 RunMetadata。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,14cdb16bf9387de00713964925f131d2cdd7ef4507479bc0d8becc776e4e8861
reportGapTask_6cbc41f08157ae5ad3e9,DataQuality,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata4_04062026.json,RunMetadata4_04062026,ma_crossover,,,补齐报告证据：RunMetadata4_04062026 / DataQuality,补跑并保存数据质量检查，确认数据源、时间区间、缺失值和异常值。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,8e5a8a80cd3a2bf0e4b02ec97e4c336066ded84fe23f11457835ae33f45a26d1
reportGapTask_fa8cacaddab8a429cb18,CrossSourceValidation,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata4_04062026.json,RunMetadata4_04062026,ma_crossover,,,补齐报告证据：RunMetadata4_04062026 / CrossSourceValidation,补跑多源交叉校验，比较至少两个可用真实数据源的关键价格。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,ef37d521bdfea361c41a01a2ce0c102d1605ae394a861e3c14e6ae3f25041a96
reportGapTask_89c8ab860f172d7862c2,ParameterStability,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata4_04062026.json,RunMetadata4_04062026,ma_crossover,,,补齐报告证据：RunMetadata4_04062026 / ParameterStability,补跑参数稳定性扫描，检查结论是否依赖单一参数。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,30a48ab673a25900b3d18246874e34107c925c5a3e9e697976b2a2fd3310dd01
reportGapTask_423c92b2f0671f3838d0,TrainTestValidation,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata4_04062026.json,RunMetadata4_04062026,ma_crossover,,,补齐报告证据：RunMetadata4_04062026 / TrainTestValidation,补跑样本内/样本外验证，确认训练和测试表现是否一致。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,d29c307011361117d7398517a117592ced024ba5ce6c316a454b1843d5372f7d
reportGapTask_273888ad06e874e001d9,WalkForwardValidation,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/BacktestReport7_04062026.docx,/Users/linzezhang/Downloads/量化回测分析/2026-06-04/RunMetadata4_04062026.json,RunMetadata4_04062026,ma_crossover,,,补齐报告证据：RunMetadata4_04062026 / WalkForwardValidation,补跑 walk-forward 验证，检查规律是否跨时间窗口稳定。,使用原报告样本区间；缺失时覆盖完整市场周期并记录起止日期。,沿用原 RunMetadata 成本假设；缺失时补充佣金、滑点、冲击成本、汇率或申赎费用。,按报告研究对象选择可复核基准,待验证,ed6c2532fcd05e3a64b13839030cc89727a22c7d7ed5d53fe0b412eeedc754b3
