stage_sequence,stage_id,stage_name,stage_pursuing_goal,parental_pursuing_goal,phase_sequence,phase_id,phase_name,phase_pursuing_goal,task_sequence,task_id,task_name,estimated_hours,estimated_pct_total,status,dependencies,depends_on,requires_gate,parallel_group,acceptance
1,S1,基线与第一轮独立审查,锁定真实现状并完成第一轮 3 Agent 互不污染审查，得到证据化问题基线。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,1.1,S1PA,基线锁定与旧链测量,得到可复现、可比较且不修改仓库的当前事实基线。,1.1.1,S1PAT01,锁定分支、HEAD、工作树与当前 Roadmap 状态,1.0,1.6667,planned,,,,S1PA-PG1,记录 branch、full SHA、commit title、工作树状态、当前 Other8 Task；无仓库写入
1,S1,基线与第一轮独立审查,锁定真实现状并完成第一轮 3 Agent 互不污染审查，得到证据化问题基线。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,1.1,S1PA,基线锁定与旧链测量,得到可复现、可比较且不修改仓库的当前事实基线。,1.1.2,S1PAT02,建立读取、写入与禁区清单,1.0,1.6667,planned,,,,S1PA-PG1,允许/禁止路径明确；Scope Guard 可自动检测；无隐式全仓修改
1,S1,基线与第一轮独立审查,锁定真实现状并完成第一轮 3 Agent 互不污染审查，得到证据化问题基线。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,1.1,S1PA,基线锁定与旧链测量,得到可复现、可比较且不修改仓库的当前事实基线。,1.1.3,S1PAT03,测量现有权威验证链基线,1.5,2.5,planned,,,,S1PA-PG1,至少 5 次冷/热运行；p50/p95、输出字节、零写入证据齐全；失败场景不被吞掉
1,S1,基线与第一轮独立审查,锁定真实现状并完成第一轮 3 Agent 互不污染审查，得到证据化问题基线。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,1.2,S1PB,第一轮三 Agent 独立审查,由三个互不读取彼此结果的只读 Agent，从安全代码、运行压力和信息交互三个角度建立第一轮问题基线。,1.2.1,S1PBT01,Agent 1：安全、代码质量、Bug、竞态、测试稳定性与维护性审查,1.5,2.5,planned,,,S1PA-GATE,S1PB-PG2,独立报告符合 finding schema；严重度、阻塞、修复与测试建议齐全
1,S1,基线与第一轮独立审查,锁定真实现状并完成第一轮 3 Agent 互不污染审查，得到证据化问题基线。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,1.2,S1PB,第一轮三 Agent 独立审查,由三个互不读取彼此结果的只读 Agent，从安全代码、运行压力和信息交互三个角度建立第一轮问题基线。,1.2.2,S1PBT02,Agent 2：压力、极限流程、生命周期、缓存与数据保存审查,1.5,2.5,planned,,,S1PA-GATE,S1PB-PG2,独立报告覆盖运行启动-执行-关闭-清理；未把未运行测试写成已验证
1,S1,基线与第一轮独立审查,锁定真实现状并完成第一轮 3 Agent 互不污染审查，得到证据化问题基线。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,1.2,S1PB,第一轮三 Agent 独立审查,由三个互不读取彼此结果的只读 Agent，从安全代码、运行压力和信息交互三个角度建立第一轮问题基线。,1.2.3,S1PBT03,Agent 3：人类界面、CLI 反馈、信息架构与功能连接审查,1.5,2.5,planned,,,S1PA-GATE,S1PB-PG2,独立报告区分必要事实与重复信息；不得建议新增平行真相源
1,S1,基线与第一轮独立审查,锁定真实现状并完成第一轮 3 Agent 互不污染审查，得到证据化问题基线。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,1.3,S1PC,第一轮证据汇总与决策,去重但不掩盖分歧，形成可供第二轮攻击性复核的候选问题集与 M1-S 候选方案。,1.3.1,S1PCT01,验证证据、去重并登记分歧,2.0,3.3333,planned,S1PBT01;S1PBT02;S1PBT03,S1PBT01;S1PBT02;S1PBT03,S1PB-GATE,S1PC-PG3,每个 P0/P1 至少一条可重放证据；重复项有映射；UNKNOWN 不伪装 VERIFIED
1,S1,基线与第一轮独立审查,锁定真实现状并完成第一轮 3 Agent 互不污染审查，得到证据化问题基线。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,1.3,S1PC,第一轮证据汇总与决策,去重但不掩盖分歧，形成可供第二轮攻击性复核的候选问题集与 M1-S 候选方案。,1.3.2,S1PCT02,形成第一轮风险登记表与 M1-S 候选决策,2.0,3.3333,planned,,,S1PB-GATE,S1PC-PG3,问题含严重度、是否阻塞合并、修复方式；候选方案明确非目标与回滚
2,S2,第二轮对抗复审与跨轮裁决,以全新三 Agent 反复交叉验证第一轮结论，证明候选优化不会牺牲质量、事实和发布安全。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,2.1,S2PA,候选方案与反例矩阵,把第一轮建议转为可被攻击、可被证明错误的候选设计，而不是直接实施。,2.1.1,S2PAT01,定义 M1-S 影子候选与不变量,1.5,2.5,planned,,,S1-GATE,S2PA-PG1,双平面/中文三文件/T0-T3/required check/full gate 不变量清单可机器验证
2,S2,第二轮对抗复审与跨轮裁决,以全新三 Agent 反复交叉验证第一轮结论，证明候选优化不会牺牲质量、事实和发布安全。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,2.1,S2PA,候选方案与反例矩阵,把第一轮建议转为可被攻击、可被证明错误的候选设计，而不是直接实施。,2.1.2,S2PAT02,建立正反例、故障注入与性能比较矩阵,1.5,2.5,planned,,,S1-GATE,S2PA-PG1,每个风险至少一个反例；预期退出码和证据明确
2,S2,第二轮对抗复审与跨轮裁决,以全新三 Agent 反复交叉验证第一轮结论，证明候选优化不会牺牲质量、事实和发布安全。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,2.2,S2PB,第二轮三 Agent 新鲜上下文交叉验证,使用三名全新 Agent 攻击第一轮汇总和 M1-S 候选，寻找漏检、误判和质量回退。,2.2.1,S2PBT01,Agent 4：安全与代码对抗复审,1.5,2.5,planned,,,S2PA-GATE,S2PB-PG2,独立报告；能指出第一轮漏项或明确确认无新增；证据可重放
2,S2,第二轮对抗复审与跨轮裁决,以全新三 Agent 反复交叉验证第一轮结论，证明候选优化不会牺牲质量、事实和发布安全。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,2.2,S2PB,第二轮三 Agent 新鲜上下文交叉验证,使用三名全新 Agent 攻击第一轮汇总和 M1-S 候选，寻找漏检、误判和质量回退。,2.2.2,S2PBT02,Agent 5：压力与故障注入复审,1.5,2.5,planned,,,S2PA-GATE,S2PB-PG2,给出可运行 stress matrix；区分实际运行与待执行
2,S2,第二轮对抗复审与跨轮裁决,以全新三 Agent 反复交叉验证第一轮结论，证明候选优化不会牺牲质量、事实和发布安全。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,2.2,S2PB,第二轮三 Agent 新鲜上下文交叉验证,使用三名全新 Agent 攻击第一轮汇总和 M1-S 候选，寻找漏检、误判和质量回退。,2.2.3,S2PBT03,Agent 6：信息交互与架构对抗复审,1.5,2.5,planned,,,S2PA-GATE,S2PB-PG2,给出人类首屏、错误信息、Agent 入口和交接的可验收标准
2,S2,第二轮对抗复审与跨轮裁决,以全新三 Agent 反复交叉验证第一轮结论，证明候选优化不会牺牲质量、事实和发布安全。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,2.3,S2PC,跨轮裁决与实施许可,交叉验证两轮结论，只允许证据充分且可回滚的影子实施进入下一 Stage。,2.3.1,S2PCT01,跨轮问题映射与严重度裁决,1.25,2.0833,planned,,,S2PB-GATE,S2PC-PG3,每个问题有 round1/round2 状态；P0/P1 无未解释分歧
2,S2,第二轮对抗复审与跨轮裁决,以全新三 Agent 反复交叉验证第一轮结论，证明候选优化不会牺牲质量、事实和发布安全。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,2.3,S2PC,跨轮裁决与实施许可,交叉验证两轮结论，只允许证据充分且可回滚的影子实施进入下一 Stage。,2.3.2,S2PCT02,发布 PROCEED_SHADOW / FIX-ONE / STOP 决策,1.25,2.0833,planned,,,S2PB-GATE,S2PC-PG3,决策唯一；允许文件、测试、回滚和 Stop Conditions 明确
3,S3,影子实现与零质量回退保护,在现有单一入口中增加影子检查计划、紧凑输出、准确零写入检测和性能遥测，同时保持旧链完全权威。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,3.1,S3PA,测试先行与输出合同,先用测试固定不变量、零写入和 fail-closed，再碰实现代码。,3.1.1,S3PAT01,定义 compact plan 与机器 JSON 输出合同,1.0,1.6667,planned,,,S2-GATE,S3PA-PG1,compact stdout <= 2 KB；JSON 字段稳定；错误可定位
3,S3,影子实现与零质量回退保护,在现有单一入口中增加影子检查计划、紧凑输出、准确零写入检测和性能遥测，同时保持旧链完全权威。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,3.1,S3PA,测试先行与输出合同,先用测试固定不变量、零写入和 fail-closed，再碰实现代码。,3.1.2,S3PAT02,增加 pre/post Git 状态差异测试,1.5,2.5,planned,,,S2-GATE,S3PA-PG1,本地已有无关改动不被当成新写入；CI clean-start 模式仍可严格要求干净
3,S3,影子实现与零质量回退保护,在现有单一入口中增加影子检查计划、紧凑输出、准确零写入检测和性能遥测，同时保持旧链完全权威。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,3.1,S3PA,测试先行与输出合同,先用测试固定不变量、零写入和 fail-closed，再碰实现代码。,3.1.3,S3PAT03,增加分类 fail-closed 与范围隔离测试,1.5,2.5,planned,,,S2-GATE,S3PA-PG1,未知路径不跳检；EEI/arxiv 不被写入；分类不可由 Prompt 自报覆盖
3,S3,影子实现与零质量回退保护,在现有单一入口中增加影子检查计划、紧凑输出、准确零写入检测和性能遥测，同时保持旧链完全权威。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,3.2,S3PB,现有入口内的影子实现,只在现有 lean_governance.py 入口内增加可观测、可比较的候选路径，不创建新控制平面。,3.2.1,S3PBT01,实现只读 check plan / explain 输出,2.0,3.3333,planned,,,S3PA-GATE,S3PB-PG2,同一输入输出确定；失败原因可读；无 tracked 写入
