stage_sequence,stage_id,stage_name,stage_pursuing_goal,parental_pursuing_goal,phase_sequence,phase_id,phase_name,phase_pursuing_goal,task_sequence,task_id,task_name,estimated_hours,estimated_pct_total,status,dependencies,depends_on,requires_gate,parallel_group,acceptance
3,S3,影子实现与零质量回退保护,在现有单一入口中增加影子检查计划、紧凑输出、准确零写入检测和性能遥测，同时保持旧链完全权威。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,3.2,S3PB,现有入口内的影子实现,只在现有 lean_governance.py 入口内增加可观测、可比较的候选路径，不创建新控制平面。,3.2.2,S3PBT02,修复零写入判断为 pre/post delta,2.0,3.3333,planned,,,S3PA-GATE,S3PB-PG2,脏工作树 fixture、干净 CI fixture、git status 错误 fixture 全通过
3,S3,影子实现与零质量回退保护,在现有单一入口中增加影子检查计划、紧凑输出、准确零写入检测和性能遥测，同时保持旧链完全权威。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,3.2,S3PB,现有入口内的影子实现,只在现有 lean_governance.py 入口内增加可观测、可比较的候选路径，不创建新控制平面。,3.2.3,S3PBT03,增加 compact 人类输出与完整临时证据输出,2.0,3.3333,planned,,,S3PA-GATE,S3PB-PG2,stdout 预算达标；失败信息含类别/文件/复现命令/下一动作
3,S3,影子实现与零质量回退保护,在现有单一入口中增加影子检查计划、紧凑输出、准确零写入检测和性能遥测，同时保持旧链完全权威。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,3.2,S3PB,现有入口内的影子实现,只在现有 lean_governance.py 入口内增加可观测、可比较的候选路径，不创建新控制平面。,3.2.4,S3PBT04,增加无持久缓存的性能遥测,2.0,3.3333,planned,,,S3PA-GATE,S3PB-PG2,无凭据；无 tracked 文件；取消/异常后临时文件清理
3,S3,影子实现与零质量回退保护,在现有单一入口中增加影子检查计划、紧凑输出、准确零写入检测和性能遥测，同时保持旧链完全权威。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,3.3,S3PC,集成、竞态与确定性验证,证明新观测路径在重复、并发和取消下不会产生竞态、缓存污染或 Git 噪声。,3.3.1,S3PCT01,运行单元、并发、取消与 20 次确定性测试,2.0,3.3333,planned,,,S3PB-GATE,S3PC-PG3,20 次摘要 hash 一致；并发退出码稳定；临时目录清理
3,S3,影子实现与零质量回退保护,在现有单一入口中增加影子检查计划、紧凑输出、准确零写入检测和性能遥测，同时保持旧链完全权威。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,3.3,S3PC,集成、竞态与确定性验证,证明新观测路径在重复、并发和取消下不会产生竞态、缓存污染或 Git 噪声。,3.3.2,S3PCT02,建立 legacy-authoritative 与 candidate-shadow 对比器,2.0,3.3333,planned,,,S3PB-GATE,S3PC-PG3,差异报告可复现；候选失败不掩盖旧链；零写入
4,S4,等价性、压力与真实影子证明,以反例、故障注入、真实 PR 与性能基线证明候选路径既更快又不降低质量。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,4.1,S4PA,合成语料与故障注入等价性,用足够苛刻的正反例证明候选不会漏掉原有质量问题。,4.1.1,S4PAT01,运行合法与非法治理 fixture 全矩阵,2.0,3.3333,planned,,,S3-GATE,S4PA-PG1,所有旧链失败样本候选不得判定可跳过；零 false negative
4,S4,等价性、压力与真实影子证明,以反例、故障注入、真实 PR 与性能基线证明候选路径既更快又不降低质量。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,4.1,S4PA,合成语料与故障注入等价性,用足够苛刻的正反例证明候选不会漏掉原有质量问题。,4.1.2,S4PAT02,运行路径、Unicode、rename/delete 与 base-ref 故障矩阵,1.5,2.5,planned,,,S3-GATE,S4PA-PG1,全部 fail-closed 或给出明确 BLOCKED；无异常吞噬
4,S4,等价性、压力与真实影子证明,以反例、故障注入、真实 PR 与性能基线证明候选路径既更快又不降低质量。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,4.1,S4PA,合成语料与故障注入等价性,用足够苛刻的正反例证明候选不会漏掉原有质量问题。,4.1.3,S4PAT03,验证 T0-T3 升级和根治理 fan-out,1.5,2.5,planned,,,S3-GATE,S4PA-PG1,选中范围与原因正确；EEI/arxiv 排除规则保持；T2/T3 不降级
4,S4,等价性、压力与真实影子证明,以反例、故障注入、真实 PR 与性能基线证明候选路径既更快又不降低质量。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,4.2,S4PB,性能、操作极限与真实影子运行,用真实数据证明提速，而不是以删除检查或主观 Token 估计制造假收益。,4.2.1,S4PBT01,比较 legacy 与 candidate 的 p50/p95、输出和项目 fan-out,2.0,3.3333,planned,,,S4PA-GATE,S4PB-PG2,T0/T1 p50 <= legacy 70%；p95 <= legacy 85%；完整链回归不超过 10%
4,S4,等价性、压力与真实影子证明,以反例、故障注入、真实 PR 与性能基线证明候选路径既更快又不降低质量。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,4.2,S4PB,性能、操作极限与真实影子运行,用真实数据证明提速，而不是以删除检查或主观 Token 估计制造假收益。,4.2.2,S4PBT02,运行并发、重复、取消、超时和临时清理压力测试,1.5,2.5,planned,,,S4PA-GATE,S4PB-PG2,无孤儿进程、无共享文件冲突、无 tracked cache、数据证据完整
4,S4,等价性、压力与真实影子证明,以反例、故障注入、真实 PR 与性能基线证明候选路径既更快又不降低质量。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,4.2,S4PB,性能、操作极限与真实影子运行,用真实数据证明提速，而不是以删除检查或主观 Token 估计制造假收益。,4.2.3,S4PBT03,在至少两个真实代表性 PR/commit 上 shadow 对比,1.5,2.5,planned,,,S4PA-GATE,S4PB-PG2,两次 legacy/candidate 判定一致；差异解释清楚；实际耗时证据存在
4,S4,等价性、压力与真实影子证明,以反例、故障注入、真实 PR 与性能基线证明候选路径既更快又不降低质量。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,4.3,S4PC,激活前 Stop Gate,只在等价性、稳定性、性能和回滚同时成立时允许有限激活。,4.3.1,S4PCT01,执行 false-negative 与遗漏专项审计,2.0,3.3333,planned,,,S4PB-GATE,S4PC-PG3,零 false negative；每个跳过均有规则和测试；UNKNOWN 升级完整检查
4,S4,等价性、压力与真实影子证明,以反例、故障注入、真实 PR 与性能基线证明候选路径既更快又不降低质量。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,4.3,S4PC,激活前 Stop Gate,只在等价性、稳定性、性能和回滚同时成立时允许有限激活。,4.3.2,S4PCT02,给出 SHIP / FIX-ONE / STOP 激活裁决,2.0,3.3333,planned,,,S4PB-GATE,S4PC-PG3,裁决有 owner 签署；激活范围和 rollback 开关明确
5,S5,受控激活、验收与连续性交接,以最小 CI/文档改动激活安全快路径，完成全量回归、ROI 证明、回滚和后续 Agent 交接。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,5.1,S5PA,受控 CI 激活与文档去漂移,以最小 diff 激活已证明安全的快路径，保持 Required Check 身份、权限和完整门禁。,5.1.1,S5PAT01,保持 workflow/check 身份不变并接入受控路径,1.0,1.6667,planned,,,S4-GATE,S5PA-PG1,Required Check 名称/触发/权限不变；PR 与 push 仍 fail-closed
5,S5,受控激活、验收与连续性交接,以最小 CI/文档改动激活安全快路径，完成全量回归、ROI 证明、回滚和后续 Agent 交接。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,5.1,S5PA,受控 CI 激活与文档去漂移,以最小 diff 激活已证明安全的快路径，保持 Required Check 身份、权限和完整门禁。,5.1.2,S5PAT02,提供显式回滚开关或单提交回滚路径,1.0,1.6667,planned,,,S4-GATE,S5PA-PG1,回滚演练通过；旧命令可用；无数据迁移
5,S5,受控激活、验收与连续性交接,以最小 CI/文档改动激活安全快路径，完成全量回归、ROI 证明、回滚和后续 Agent 交接。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,5.1,S5PA,受控 CI 激活与文档去漂移,以最小 diff 激活已证明安全的快路径，保持 Required Check 身份、权限和完整门禁。,5.1.3,S5PAT03,移除 README 中易漂移的动态基线快照,1.0,1.6667,planned,,,S4-GATE,S5PA-PG1,README 不再保存旧 SHA/current snapshot；没有新增平行当前文件
5,S5,受控激活、验收与连续性交接,以最小 CI/文档改动激活安全快路径，完成全量回归、ROI 证明、回滚和后续 Agent 交接。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,5.2,S5PB,最终回归、ROI 与 Agent 连续性,验证全链质量、量化真实收益，并让下一名 Agent 无需猜测即可继续。,5.2.1,S5PBT01,运行 focused、changed-scope、full/nightly 等价回归,1.0,1.6667,planned,,,S5PA-GATE,S5PB-PG2,全部退出码和输出保存；无 project 业务写入；full 质量不下降
5,S5,受控激活、验收与连续性交接,以最小 CI/文档改动激活安全快路径，完成全量回归、ROI 证明、回滚和后续 Agent 交接。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,5.2,S5PB,最终回归、ROI 与 Agent 连续性,验证全链质量、量化真实收益，并让下一名 Agent 无需猜测即可继续。,5.2.2,S5PBT02,生成质量、速度、Token proxy 与 CI 重跑 ROI 报告,1.0,1.6667,planned,,,S5PA-GATE,S5PB-PG2,所有指标来自命令/CI；不虚构 Token；未达标项标为风险
5,S5,受控激活、验收与连续性交接,以最小 CI/文档改动激活安全快路径，完成全量回归、ROI 证明、回滚和后续 Agent 交接。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,5.2,S5PB,最终回归、ROI 与 Agent 连续性,验证全链质量、量化真实收益，并让下一名 Agent 无需猜测即可继续。,5.2.3,S5PBT03,完成 Agent Handoff 与下一唯一 Task,1.0,1.6667,planned,,,S5PA-GATE,S5PB-PG2,新 Agent 按 handoff 在 5 个文件内找到全部当前事实；无依赖聊天记忆
5,S5,受控激活、验收与连续性交接,以最小 CI/文档改动激活安全快路径，完成全量回归、ROI 证明、回滚和后续 Agent 交接。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,5.3,S5PC,Owner 验收、合并与短期监控,作出明确发布决策，并在合并后验证两次真实运行，防止只在 fixture 中成功。,5.3.1,S5PCT01,最终独立审查与合并决策,1.0,1.6667,planned,,,S5PB-GATE,S5PC-PG3,P0/P1=0；合并决定唯一；PR 可独立回滚
5,S5,受控激活、验收与连续性交接,以最小 CI/文档改动激活安全快路径，完成全量回归、ROI 证明、回滚和后续 Agent 交接。,在不改变现有双平面、三个中文人类入口、完整 Roadmap 与 T0-T3 质量门禁的前提下，降低普通开发任务的重复验证、重复读取和重复写入成本，提升每单位 Token 的可验收交付吞吐率，并保证开发、验收、发布、回滚与后续 Agent 接续的连续性和稳定性。,5.3,S5PC,Owner 验收、合并与短期监控,作出明确发布决策，并在合并后验证两次真实运行，防止只在 fixture 中成功。,5.3.2,S5PCT02,监控合并后两次真实 Governance 运行并关闭任务,1.0,1.6667,planned,,,S5PB-GATE,S5PC-PG3,连续 2 次成功；无新增治理噪声；开发记录/manifest 按真实结果收口
